path,action,reason
locked_source_data/supplementary_figures/FigS15_glycolysis_gradient_LOCKED_source.csv,add_locked_source,"Locked Supplementary Figure S15 equal-cell-count-bin source table. Figure image itself remains part of submission files, not repository."
reproducibility/current_author_sessionInfo.txt,add_reproducibility,Current author R-session snapshot captured for transparency.
reproducibility/current_author_package_versions.csv,add_reproducibility,Current author package-version snapshot captured for transparency.
scripts/utils/locked_fig2c_groups.R,create,Shared helper ensures all downstream scripts use the single authoritative rank-balanced Figure 2C grouping.
scripts/02_glycolysis_scoring.R,rewrite,Replaced stale simple-threshold split with authoritative rank-balanced Figure 2C assignment table.
scripts/08_glycolysis_gradient.R,rewrite,"Replaced stale equal-width-bin script with locked 15,391-cell equal-cell-count-bin redraw script."
scripts/09_TF_activity.R,update,Use authoritative Figure 2C rank-balanced assignment helper; remove stale median-threshold grouping.
scripts/14_OXPHOS_metabolic_specificity.R,update,Use authoritative Figure 2C rank-balanced assignment helper; remove stale median-threshold grouping.
scripts/17_partial_correlation_metabolic_specificity.R,update,Use authoritative Figure 2C rank-balanced assignment helper; remove stale median-threshold grouping.
scripts/16_patient_level_ligand_effects.R,update,Use locked Figure 2C grouping and update ligand QC targets to verified final Figure 3 / Supplementary Table S3 values.
scripts/03_cellchat_analysis.R,update,Use authoritative rank-balanced Figure 2C assignments for CellChat sender groups.
scripts/01_QC_clustering.R,update,Remove machine-specific D:/ path; allow optional PROJECT_DIR configuration.
scripts/04_TCGA_validation.R,update,Remove machine-specific D:/ path; allow optional PROJECT_DIR configuration.
scripts/18_LIANA_directional_concordance.R,update,Remove machine-specific paths and package installation at runtime; use environment-variable configuration.
reproducibility/capture_session_info.R,create,Allow users to refresh current environment snapshot without modifying analysis scripts.
LICENSE,create,Add MIT License requested by author.
CITATION.cff,create,Add machine-readable citation metadata.
.gitignore,create,"Prevent accidental commits of local sessions, generated outputs, large data files, and OS metadata."
README.md,rewrite,Replace revision-era homepage with concise submission-release documentation.
RUN_ORDER.md,rewrite,Document clean active workflow and authoritative rank-balanced grouping helper.
DATA_AND_CLAIM_BOUNDARIES.md,rewrite,State release-level interpretation limits and grouping rule clearly.
CODE_AVAILABILITY_NOTE.md,rewrite,Explain included and excluded repository materials without internal revision references.
locked_source_data/README.md,create,Describe compact authoritative source tables.
reproducibility/README.md,create,Clarify current-session snapshot versus original analysis environment.
archive_not_used/README.md,create,Clearly separate historical materials from active manuscript workflow.
RELEASE_CHECKLIST.md,create,Provide explicit pre-release checklist including environment-snapshot caveat.
MANUSCRIPT_TO_REPOSITORY_MAP.tsv,rewrite,Replace revision-era map with concise submission-release map.
STATIC_VALIDATION_REPORT.txt,create,Document static checks and explicit run-time-validation limitation.
scripts/03_cellchat_analysis.R; scripts/06_inferCNV_malignant.R,comment_cleanup,Remove literal machine-specific path examples from active-script comments to keep public static checks clean.
